??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????????????,2548,,,,,,,,,,,,2549,,,,,,,,,,,,2550,,,,,,,,,,,,2551,,,,,,,,,,,,2552,,,,,,,,,,,,2553,,,,,,,,,,,,2554,,,,,,,,,,,,2555,,,,,,,,,,,,2556,,,,,,,,,,,,2557,,,,,,,,,,,,2558,,,,,,,,,,,,2559,,,,,,,,,,,,2560,,,,,,,,,,,,2561,,,,,,,,,,,,2562,,,,,,,,,,,,2563,,,,,,,,,,,,2564,,,,,,,,,,,,2565,,,,,,,,,,,,2566,,,,,,,,,,,,2567,,,,,,,,,,,,2568,,,,,,,,,,,
,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?., ?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.,??.?.,??.?.,?.?.,??.?.,?.?.,?.?.,?.?.,?.?.,?.?.,?.?.
 ??????,0.00,0.00,0.24,67.68,99.12,121.80,166.44,243.12,448.44,40.56,12.60,0.00,0.00,0.00,0.15,43.20,61.65,70.30,131.80,162.67,254.42,39.59,2.07,0.00,0.00,0.00,0.00,2.25,57.71,224.79,187.31,369.70,460.12,98.14,4.07,0.00,0.32,0.00,0.03,11.01,51.22,149.62,176.23,108.10,108.15,27.93,10.75,3.67,2.73,2.87,8.22,0.09,12.07,84.24,312.81,342.58,173.68,36.19,1.81,2.72,7.64,2.72,0.30,3.11,123.87,210.74,75.24,198.92,215.95,94.03,9.41,2.26,0.00,0.00,0.00,0.40,32.73,156.73,166.47,58.45,67.21,30.99,2.71,0.00,3.93,2.58,0.00,8.58,55.50,149.50,107.59,168.97,180.78,19.15,9.58,20.21,25.32,11.86,0.00,0.54,8.93,96.40,123.87,168.11,235.21,129.47,63.02,36.47,0.00,0.00,0.00,0.37,3.67,32.87,150.35,437.35,286.59,58.70,8.94,0.00,0.00,0.00,0.00,0.17,12.50,61.33,77.87,146.89,293.37,110.55,16.96,1.95,0.00,0.00,0.00,3.18,31.57,75.21,41.45,45.77,206.98,220.65,22.57,0.00,0.02,0.01,0.00,0.71,10.74,32.94,48.72,73.99,82.15,36.17,5.67,3.62,0.00,0.00,0.00,0.47,6.16,17.72,45.72,146.90,157.81,55.45,5.03,0.00,0.43,2.34,0.06,0.09,13.54,29.84,51.55,121.54,302.03,159.78,10.03,0.44,0.00,0.00,0.15,3.24,37.27,41.47,41.58,62.73,125.52,103.23,18.44,0.00,0.00,0.00,0.00,0.17,10.14,33.41,52.05,116.21,146.84,81.99,4.23,0.00,0.10,0.01,0.00,0.72,9.62,38.09,52.04,35.15,58.67,47.86,4.07,0.15,0.47,0.29,0.39,0.57,7.93,23.46,18.34,29.88,145.94,136.52,6.79,0.60,0.00,0.00,0.00,0.36,4.89,16.84,17.20,26.06,112.79,93.96,3.52,0.00,0.00,0.00,0.00,0.04,1.94,11.47,,,,,,
 ????,0.00,0.00,1.56,185.28,338.16,207.48,168.00,172.56,96.96,27.00,3.00,0.00,0.00,0.00,0.00,8.95,192.19,408.60,214.99,130.23,52.30,9.87,0.31,0.00,5.37,4.34,6.51,169.61,360.09,173.26,179.42,212.40,30.36,0.00,0.00,0.00,1.42,0.00,0.76,60.94,326.68,269.80,126.81,109.78,35.96,4.45,2.18,7.57,4.45,3.40,1.48,16.56,109.49,390.00,156.73,146.71,40.01,2.88,0.00,0.00,1.93,0.25,0.00,47.55,311.69,187.43,119.95,83.77,50.18,5.24,2.13,1.42,0.00,0.00,0.00,21.19,130.39,314.56,120.72,78.08,33.57,3.83,0.00,0.00,0.99,0.25,0.19,49.04,215.54,289.00,59.05,93.94,26.08,8.81,5.32,1.18,0.36,0.36,1.05,9.92,35.56,379.10,136.62,78.18,33.09,8.18,8.02,3.37,0.00,0.00,0.00,5.60,131.06,274.92,169.01,96.48,18.17,4.40,0.61,0.75,0.00,0.00,0.09,26.51,133.48,216.46,106.60,104.62,65.02,7.62,3.46,0.00,0.00,0.00,0.14,18.57,90.35,117.64,57.36,51.01,63.52,43.46,1.10,1.39,0.00,0.00,0.10,18.60,125.95,214.01,121.58,56.06,37.82,2.70,0.46,0.84,0.00,0.00,0.08,15.22,151.55,203.59,74.38,81.62,67.75,9.65,1.40,0.71,1.31,0.98,4.19,96.61,165.47,136.75,87.30,80.54,73.16,6.62,0.16,0.00,1.32,0.17,9.33,72.19,257.09,146.92,58.60,52.17,28.41,3.27,0.43,0.05,0.41,0.19,2.26,57.50,202.35,141.67,149.37,73.50,30.99,2.06,0.89,0.41,0.06,0.00,0.06,23.56,268.28,208.23,91.34,19.67,5.01,0.00,1.36,0.87,0.69,0.68,4.51,100.60,100.02,104.40,116.31,43.33,28.92,1.75,0.46,0.76,0.40,0.40,0.00,56.17,179.06,101.12,69.79,35.26,20.92,5.90,0.90,1.22,1.18,0.00,0.02,37.75,168.97,144.30,,,,,,
 ??????,0.00,0.00,30.58,191.90,222.69,134.42,285.28,240.93,74.65,19.55,0.00,0.00,0.00,0.00,0.00,5.22,64.06,195.65,253.96,193.85,79.08,38.65,5.11,0.00,44.98,44.16,28.38,338.97,236.49,186.65,445.29,516.49,128.23,0.00,0.00,0.00,13.67,12.33,4.98,112.09,412.15,179.37,85.33,73.60,55.43,36.95,2.90,2.73,11.04,10.18,16.78,30.11,391.11,323.46,261.02,316.14,156.79,13.74,0.12,0.00,11.21,2.29,4.66,66.53,542.39,164.37,164.84,272.08,120.43,40.71,11.13,16.47,9.70,12.60,18.33,24.45,170.06,137.95,392.21,32.92,19.74,8.37,0.51,2.12,0.00,0.00,3.04,74.77,204.03,263.20,92.43,172.97,343.25,33.29,2.26,7.93,0.00,0.00,4.88,111.78,303.57,394.87,160.39,231.15,381.74,44.57,1.95,7.25,40.92,65.20,32.06,41.21,313.35,480.63,246.29,123.88,147.96,74.55,46.07,38.95,0.00,0.00,65.90,263.04,262.06,147.81,133.70,222.17,118.52,37.43,5.71,1.22,6.39,1.19,1.66,39.79,234.75,248.89,74.75,169.15,227.41,45.43,4.50,1.69,2.66,3.50,2.13,32.34,165.05,383.78,409.71,202.77,78.57,7.58,0.45,1.87,13.74,22.12,16.31,16.91,110.95,121.59,542.96,113.26,59.11,25.68,2.22,8.03,16.07,37.85,53.14,380.37,187.99,288.89,473.74,447.68,98.45,2.81,2.61,6.19,11.96,12.55,15.77,164.08,874.91,178.00,155.92,273.35,187.30,25.09,3.66,3.08,8.15,8.78,0.33,40.38,123.77,311.08,468.80,397.38,121.45,27.05,17.56,7.03,3.31,0.00,0.20,169.38,679.83,384.95,139.54,9.37,1.71,0.11,16.93,20.25,9.76,4.86,34.86,266.81,255.65,398.59,127.90,184.94,200.33,28.38,11.66,9.32,49.16,23.79,2.08,282.51,526.75,232.75,119.31,244.58,191.38,14.79,8.97,10.34,2.15,1.79,0.43,183.14,531.08,648.94,,,,,,
 ????????,106.40,95.81,92.68,87.26,68.12,75.23,63.67,99.90,125.90,174.28,99.90,110.85,108.41,97.62,94.43,88.91,69.41,76.65,64.87,101.78,128.27,177.57,101.78,112.94,110.20,99.23,95.99,90.38,70.56,77.91,65.95,103.47,130.40,180.51,103.47,114.82,111.79,100.66,97.37,91.68,71.58,79.04,66.90,104.96,132.28,183.11,104.96,116.47,113.48,102.18,98.84,93.07,72.66,80.23,67.91,106.54,134.27,185.87,106.54,118.23,50.27,45.26,43.79,41.23,32.19,35.54,30.08,47.20,59.48,82.34,47.20,52.37,44.95,40.47,39.15,36.86,28.78,31.78,26.90,42.20,53.19,73.63,42.20,46.83,63.74,57.39,55.52,52.27,40.81,45.06,38.14,59.84,75.42,104.40,59.84,66.40,62.43,56.22,54.38,51.21,39.98,44.14,37.36,58.62,73.88,102.27,58.62,65.05,54.99,49.52,47.90,45.10,35.21,38.88,32.91,51.63,65.07,90.08,51.63,57.29,53.78,48.42,46.84,44.11,34.43,38.02,32.18,50.49,63.63,88.09,50.49,56.03,48.14,43.35,41.93,39.48,30.82,34.04,28.81,45.20,56.96,78.86,45.20,50.16,44.02,28.06,43.96,39.98,42.65,40.40,39.33,47.81,53.75,78.13,83.88,51.25,65.89,50.86,29.64,99.97,47.90,50.46,43.59,56.25,69.46,76.93,65.62,17.11,59.41,42.42,40.79,74.54,49.39,49.39,45.25,56.68,66.90,84.94,82.48,38.62,62.30,44.48,42.78,78.16,51.79,51.79,47.45,59.44,70.16,89.06,86.49,40.49,67.06,47.88,46.05,84.14,55.76,55.76,51.08,63.98,75.53,95.88,93.11,43.59,67.53,48.21,46.37,84.73,56.14,56.14,51.43,64.43,76.05,96.54,93.76,43.89,67.90,48.48,46.62,85.19,56.45,56.45,51.72,64.78,76.47,97.08,94.27,44.14,67.99,48.54,46.68,85.30,56.53,56.53,51.78,64.87,76.57,97.20,94.39,44.19,69.22,52.72,50.80,79.16,54.17,55.35,,,,,,
 ???????,0.00,0.00,12.37,391.44,640.20,153.11,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.49,363.75,594.93,142.29,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.51,72.01,791.96,241.18,4.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,36.69,615.67,149.65,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,364.28,715.03,159.70,4.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.07,407.30,203.84,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.36,26.61,28.64,316.07,185.19,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.01,126.15,517.56,272.93,54.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,20.12,538.22,189.28,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,139.26,621.00,224.29,30.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.42,72.11,507.78,168.71,24.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.97,11.11,298.36,131.47,29.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,24.57,408.03,247.59,24.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,73.30,393.90,237.17,21.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06,217.43,118.09,10.73,0.29,0.00,0.00,0.00,0.00,0.00,0.00,7.60,24.79,325.49,154.39,2.03,0.34,0.00,0.00,0.00,0.00,0.00,0.00,8.96,49.62,381.91,107.21,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,73.16,379.52,207.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,105.79,285.37,214.00,11.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,23.58,50.09,121.49,15.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,94.26,295.04,172.23,,,,,,
    1.4 ???????????,72.50,216.97,483.60,182.20,32.97,0.99,11.86,29.46,20.02,32.60,66.18,50.66,122.54,226.51,432.69,69.94,22.74,0.00,27.32,20.53,19.40,24.88,48.14,62.45,110.27,225.97,354.44,133.58,21.30,0.44,22.29,14.06,11.07,14.12,34.98,78.85,121.89,246.13,392.14,103.86,3.62,0.10,31.61,17.98,12.50,19.42,42.95,59.26,110.62,189.34,448.88,77.80,1.27,0.00,21.38,30.50,19.85,19.26,41.41,61.41,123.62,174.79,412.71,55.69,4.88,0.00,26.24,35.43,9.62,27.63,57.18,70.63,88.88,199.07,449.65,71.10,5.53,0.00,30.64,31.12,17.10,20.62,46.14,71.53,129.03,209.63,496.09,85.38,4.22,0.00,17.45,23.34,10.55,14.97,31.80,44.44,84.76,157.85,392.04,51.21,3.31,0.00,20.80,20.47,10.59,16.81,31.14,44.57,77.43,153.23,371.56,47.45,2.35,0.00,19.93,24.53,11.43,15.05,30.72,44.53,83.94,165.16,366.50,76.33,2.94,0.00,3.46,3.42,4.08,13.94,10.51,43.85,78.88,111.85,402.71,38.08,5.03,0.00,2.11,8.97,27.49,12.14,11.33,54.20,86.45,128.19,351.96,101.46,1.12,0.00,3.77,37.76,10.52,2.96,13.38,48.65,143.63,199.98,453.10,48.24,4.57,0.00,1.83,4.10,10.32,4.62,10.44,53.85,45.84,168.24,469.28,88.11,0.26,0.00,24.95,8.32,11.15,3.48,5.73,26.28,140.19,197.68,338.19,116.68,2.16,0.00,20.70,24.91,10.22,4.18,5.60,12.21,88.37,274.36,339.46,125.34,2.45,0.00,4.45,12.76,21.60,3.47,10.48,6.81,75.46,217.59,300.66,132.29,3.13,0.04,5.12,20.73,24.94,4.88,6.79,9.17,195.74,234.10,234.39,77.08,1.40,0.00,8.13,23.23,11.80,13.13,16.00,57.63,124.35,143.33,328.19,55.07,2.00,0.00,8.39,23.80,12.07,13.46,16.62,59.47,125.99,212.24,306.64,39.35,2.60,0.49,,,,,,
 ??????,73.49,122.44,214.10,283.75,72.38,2.21,22.92,58.87,39.13,70.62,131.50,108.58,178.50,146.42,264.52,103.18,50.88,0.00,61.14,41.19,34.54,49.58,87.83,96.32,122.70,150.27,241.92,158.34,44.90,0.98,47.15,26.50,17.65,26.36,46.48,137.69,133.59,177.66,300.51,119.98,6.09,0.22,68.23,33.79,18.98,38.88,76.21,108.61,166.84,203.07,287.71,49.16,0.00,0.00,37.85,23.66,33.17,30.33,80.62,116.05,182.80,109.63,229.85,87.27,10.92,0.00,45.63,23.10,14.03,57.62,114.22,132.66,113.88,169.97,277.94,62.71,6.16,0.00,59.66,32.42,28.63,38.40,85.30,131.18,193.95,180.84,308.68,84.27,6.32,0.00,30.92,17.14,16.40,27.29,60.57,82.15,106.08,99.49,176.53,50.62,5.04,0.00,32.79,17.48,14.21,29.64,62.57,83.20,99.59,108.26,183.53,47.54,4.23,0.00,33.35,18.13,15.97,25.77,56.28,80.09,107.90,104.99,180.56,49.25,4.19,0.00,7.75,7.05,3.10,12.89,9.05,77.03,126.33,47.26,131.72,26.24,11.26,0.00,4.29,9.99,41.95,24.97,20.87,99.34,149.62,149.47,118.13,51.29,2.04,0.00,7.52,51.42,9.31,4.25,28.17,84.88,215.15,175.16,241.16,44.30,7.66,0.00,0.62,1.50,7.75,9.22,21.41,106.39,84.50,175.10,186.19,22.74,0.09,0.00,51.97,10.09,9.35,6.56,11.56,45.38,283.67,133.06,125.66,20.52,4.29,0.00,42.61,47.53,7.94,8.18,10.98,16.22,165.65,380.83,132.81,20.24,0.58,0.00,8.42,25.46,34.47,6.23,8.45,8.95,144.90,333.98,128.49,17.37,0.00,0.08,7.81,20.33,37.57,3.56,8.50,8.66,349.06,207.53,127.80,7.60,0.00,0.00,10.25,24.43,0.92,5.32,34.29,120.99,251.33,160.95,122.93,23.73,0.00,0.00,10.81,25.36,1.19,5.73,35.46,124.65,182.81,121.24,211.66,24.22,1.32,1.09,,,,,,
 ????????,30.31,263.70,821.26,84.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,33.61,343.81,479.90,57.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,38.24,293.71,457.91,50.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.38,68.83,256.99,568.33,67.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,20.06,128.05,597.42,57.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,17.80,125.27,584.64,37.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,20.47,130.28,658.89,40.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,21.75,151.77,716.59,69.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,27.44,143.35,681.87,41.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,25.58,135.77,612.65,36.96,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.26,16.17,145.00,564.86,102.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,17.71,119.67,576.67,45.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,20.45,111.84,543.73,101.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.71,84.41,253.95,652.42,26.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,14.50,124.86,769.14,36.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,15.14,241.70,483.99,123.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.01,194.64,536.95,93.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,23.56,104.19,473.68,102.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,92.03,322.64,247.73,4.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,12.77,71.22,448.24,71.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.32,92.50,232.77,335.23,10.20,0.00,0.00,,,,,,
 ????????,149.19,350.98,437.11,157.15,3.97,0.00,10.33,20.14,16.13,6.46,43.88,4.65,179.69,217.77,767.40,24.39,0.00,0.00,0.00,13.54,25.37,11.80,20.20,62.61,172.45,225.16,539.03,290.48,7.87,0.00,7.77,14.19,20.33,13.61,75.83,70.95,177.23,370.34,318.23,172.32,5.75,0.00,7.19,18.41,25.69,13.10,56.86,59.58,160.06,260.83,537.24,228.86,8.12,0.00,28.57,127.43,32.19,36.50,34.39,48.62,185.67,418.63,530.95,22.89,0.00,0.00,37.41,160.57,21.44,12.01,39.24,40.29,145.68,398.39,461.34,186.43,17.79,0.00,25.45,106.35,27.58,21.36,45.30,51.51,170.59,374.67,531.16,152.11,8.94,0.00,23.24,100.29,20.61,17.75,30.22,35.72,127.65,303.27,387.43,91.93,6.75,0.00,39.30,80.99,27.14,22.80,20.30,34.30,105.52,266.62,414.15,71.54,2.93,0.00,32.15,105.07,27.50,22.58,35.02,44.33,147.48,345.03,486.76,115.32,6.84,0.00,0.00,1.75,17.26,52.34,41.34,52.71,66.53,246.41,768.91,56.74,0.00,0.00,1.23,28.80,55.96,6.25,10.14,49.75,63.74,81.74,599.10,267.99,1.32,0.00,2.62,94.53,40.67,6.75,5.05,42.82,74.81,145.13,636.99,122.26,7.31,0.00,9.94,21.96,43.85,3.17,1.46,21.03,13.91,222.61,665.32,388.13,1.43,0.00,11.02,24.35,44.57,3.52,1.01,27.60,37.94,240.38,600.58,388.63,1.55,0.00,10.63,23.47,42.68,3.36,0.97,22.31,14.24,168.05,478.14,527.44,14.01,0.00,4.40,8.81,39.63,4.40,13.21,17.61,13.21,133.11,415.79,536.72,20.03,0.00,10.44,74.50,52.13,21.08,13.03,17.50,26.97,139.09,492.53,455.34,8.98,0.00,22.71,78.73,72.87,68.76,2.48,13.68,39.49,255.46,620.80,113.18,12.82,0.00,22.76,79.74,73.81,69.73,2.63,13.95,77.49,475.57,459.29,112.09,12.89,0.00,,,,,,
 ??????????,114.71,317.72,698.47,34.29,0.00,0.00,0.00,0.00,0.08,0.57,10.84,23.31,59.98,159.82,560.36,0.00,0.00,0.00,0.00,0.00,0.00,17.26,112.36,184.19,299.18,432.54,73.15,0.00,0.00,0.00,0.00,0.00,0.00,4.20,46.11,105.98,209.43,391.93,227.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.77,80.40,265.34,583.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.92,132.21,334.24,487.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.61,159.51,309.55,499.93,0.00,0.00,0.00,0.00,0.00,0.00,2.31,18.43,85.68,160.19,348.24,535.95,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.81,155.16,321.77,329.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.78,148.69,318.23,254.20,43.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.55,138.74,277.83,282.37,19.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.03,115.69,212.46,475.55,34.61,0.00,0.00,0.00,0.00,0.00,0.00,8.10,31.92,49.97,195.01,343.28,30.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.34,129.36,219.76,395.34,3.47,0.00,0.00,0.00,0.00,0.00,0.00,12.56,52.07,17.39,235.50,316.09,92.66,0.00,0.00,0.00,0.00,0.00,0.00,7.93,29.35,44.18,334.62,407.77,80.17,0.00,0.00,0.00,0.00,0.00,0.00,10.75,28.82,74.70,207.73,386.37,29.61,0.00,0.00,0.00,0.00,0.00,0.00,91.03,0.00,9.61,225.34,283.53,101.12,0.00,0.00,0.00,0.00,0.00,0.00,18.73,45.60,72.55,157.89,286.78,17.90,0.00,0.00,0.00,0.00,0.00,0.00,5.56,20.36,28.19,134.12,416.04,42.35,0.00,0.00,0.00,0.00,0.00,0.00,7.15,22.08,3.84,63.29,477.23,146.68,0.00,0.00,,,,,,
    1.4 ??????????????,51.43,72.72,126.94,129.20,112.08,111.50,109.05,122.05,112.01,104.38,84.09,64.54,50.54,83.78,163.93,174.80,131.68,106.71,108.18,138.72,132.81,135.61,115.74,90.52,82.09,86.23,140.08,143.20,99.53,92.34,106.79,131.45,135.46,139.26,116.51,85.82,91.44,127.09,187.25,181.33,171.74,151.23,145.98,162.54,156.35,128.92,104.74,88.92,85.86,97.33,169.64,160.70,112.43,102.00,112.03,140.54,146.44,129.32,100.00,94.98,94.18,117.22,178.88,171.93,141.08,137.86,127.07,127.05,112.30,89.91,72.65,57.26,58.22,81.14,148.93,171.17,157.39,159.28,158.13,152.74,159.42,168.62,166.71,133.71,136.62,123.98,126.09,126.05,124.40,133.20,151.35,164.54,180.74,182.57,164.71,151.22,158.20,145.52,142.69,125.52,140.85,142.74,159.00,178.47,172.88,185.15,177.41,172.07,122.20,140.25,215.77,226.76,240.66,193.75,161.22,149.68,143.53,140.08,101.77,95.77,131.65,139.93,185.91,205.85,174.45,155.59,145.91,146.20,151.46,159.51,165.09,132.45,99.34,120.28,175.80,196.42,178.01,149.82,134.18,138.14,152.79,146.36,151.27,135.24,112.14,134.60,221.34,223.42,189.91,150.98,137.40,152.28,180.99,214.51,225.86,223.52,211.82,214.50,229.71,218.28,191.43,179.44,159.79,155.62,171.12,195.76,192.94,200.78,186.26,191.22,241.37,260.48,257.75,236.05,236.99,211.54,188.42,171.91,138.77,120.76,135.83,172.63,212.81,255.80,274.34,259.68,239.23,220.48,187.52,168.67,151.22,125.98,99.93,142.47,240.92,277.64,292.48,254.60,229.23,231.23,202.05,210.05,176.72,144.20,143.12,175.74,245.64,251.78,242.30,229.80,224.27,246.33,263.72,264.48,230.96,222.67,246.62,246.46,240.59,230.35,224.68,214.98,212.21,233.16,231.41,225.43,208.38,177.55,166.45,164.23,253.73,283.23,344.04,330.53,301.33,248.13,205.51,156.48,153.24,120.33,110.05,132.56,268.93,354.32,354.71,327.76,,,,,,
